[0.059s] Invoking command in '/home/student/pepper_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --build /home/student/pepper_ws/build/turtlebot3_description -- -j8 -l8
[0.160s] Invoked command in '/home/student/pepper_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --build /home/student/pepper_ws/build/turtlebot3_description -- -j8 -l8
[0.295s] Invoking command in '/home/student/pepper_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --install /home/student/pepper_ws/build/turtlebot3_description
[0.329s] -- Install configuration: ""
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl
[0.354s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/rviz/model.rviz
[0.355s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/common_properties.urdf
[0.360s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_burger.urdf
[0.360s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle.urdf
[0.360s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle_pi.urdf
[0.361s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/ament_index/resource_index/package_run_dependencies/turtlebot3_description
[0.361s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/ament_index/resource_index/parent_prefix_path/turtlebot3_description
[0.361s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.sh
[0.361s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.dsv
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.sh
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.dsv
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.bash
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.sh
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.zsh
[0.362s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.dsv
[0.362s] -- Symlinking: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/package.dsv
[0.381s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/ament_index/resource_index/packages/turtlebot3_description
[0.381s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig.cmake
[0.381s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig-version.cmake
[0.383s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/package.xml
[0.390s] Invoked command in '/home/student/pepper_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --install /home/student/pepper_ws/build/turtlebot3_description
